"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"69","Glad to see American Factory’s Oscar nod for Best Documentary. It’s the kind of story we don’t see often enough and… https://t.co/FSdnLUbNBA",FALSE,131547,NA,2020-01-13 14:13:44,TRUE,NA,"1216725015695183872",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",11192,FALSE,FALSE,NA,NA
"70","Our fellow Americans in Puerto Rico can use our support after this week’s earthquakes. They’ve shown their enduring… https://t.co/qxjRcyT8cR",FALSE,136864,NA,2020-01-12 18:35:50,TRUE,NA,"1216428587328458754",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",31374,FALSE,FALSE,NA,NA
"71","Here’s the thing: Even with problems of this magnitude, each of us can still find a way to make change. That’s why… https://t.co/K3YYej7d0s",FALSE,39076,"BarackObama",2020-01-09 21:01:14,TRUE,"1215377738858663937","1215378018790707205","813286","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",6032,FALSE,FALSE,NA,NA
"72","The catastrophic fires in Australia are the latest example of the very real and very urgent consequences of climate… https://t.co/anmhvMTvGz",FALSE,210275,NA,2020-01-09 21:00:08,TRUE,NA,"1215377738858663937",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",37783,FALSE,FALSE,NA,NA
"73","With David Stern’s passing, I’m reflecting on everything he did to take the NBA global, creating entire new generat… https://t.co/lUABFGYPQL",FALSE,87289,NA,2020-01-02 23:49:54,TRUE,NA,"1212883749727158273",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",6310,FALSE,FALSE,NA,NA
"74","Here’s to a happy, healthy, and hopeful 2020. Happy New Year, everybody!",FALSE,1084834,NA,2020-01-01 17:16:44,FALSE,NA,"1212422416716247040",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",136271,FALSE,FALSE,NA,NA
"75","From hip-hop to country to The Boss, here are my songs of the year. If you’re looking for something to keep you com… https://t.co/MGNAUPPgTj",FALSE,445593,NA,2019-12-30 17:02:44,TRUE,NA,"1211694118767738886",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",69467,FALSE,FALSE,NA,NA
"76","If there’s one thing I love about @RepJohnLewis, it’s his incomparable will to fight. I know he’s got a lot more of… https://t.co/5prseTALoX",FALSE,229763,NA,2019-12-30 00:33:16,TRUE,NA,"1211445110694645760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",27035,FALSE,FALSE,NA,NA
"77","Next up are my favorite movies and TV shows of 2019. Of course, there’s also American Factory, a film from our own… https://t.co/qJ7QkWzkjE",FALSE,228706,NA,2019-12-29 17:03:13,TRUE,NA,"1211331851358494720",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",28381,FALSE,FALSE,NA,NA
"78","As we wind down 2019, I wanted to share with you my annual list of favorites that made the last year a little brigh… https://t.co/hHUU0DWR46",FALSE,277099,NA,2019-12-28 21:16:40,TRUE,NA,"1211033245812441091",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",45066,FALSE,FALSE,NA,NA
"79","From the Obama family to yours, Merry Christmas! https://t.co/dNfx52AjMN",FALSE,1017567,NA,2019-12-25 00:00:22,FALSE,NA,"1209624889717596161",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",76171,FALSE,FALSE,NA,NA
"80","On behalf of my family, Chag Sameach and Happy Hanukkah! As Jews around the world celebrate, let the menorah’s ligh… https://t.co/JG1nJIY9Uq",FALSE,222430,NA,2019-12-23 20:50:19,TRUE,NA,"1209214676376141824",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","BarackObama",18791,FALSE,FALSE,NA,NA
